;SVR;HYBRID;ARIMA;MOEX;;0;0;0;0;;;;;;;
105;0,540112815;0,577873044;0,579666817;2680,12;105;0,540112815;0,577873044;0,579666817;2680,12;0,003646935;0,003646935;0,003646935;;;;
106;0,556186722;0,593946951;0,595740724;2637,04;106;0,556186722;0,593946951;0,595740724;2637,04;0,016073907;0,016073907;0,016073907;;;;
107;0,560532504;0,598292733;0,600086506;2625,58;107;0,560532504;0,598292733;0,600086506;2625,58;0,004345782;0,004345782;0,004345782;;;;
108;0,564485916;0,602246145;0,604039918;2615,2;108;0,564485916;0,602246145;0,604039918;2615,2;0,003953412;0,003953412;0,003953412;;;;
109;0,577062392;0,614822621;0,616616394;2648,09;109;0,577062392;0,614822621;0,616616394;2648,09;0,012576476;0,012576476;0,012576476;;;;
110;0,586408751;0,62416898;0,625962753;2672,84;110;0,586408751;0,62416898;0,625962753;2672,84;0,009346359;0,009346359;0,009346359;;;;
111;0,58682404;0,624584269;0,626378041;2673,95;111;0,58682404;0,624584269;0,626378041;2673,95;0,000415289;0,000415289;0,000415289;;;;
112;0,586382745;0,624142974;0,625936747;2675,13;112;0,586382745;0,624142974;0,625936747;2675,13;-0,000441295;-0,000441295;-0,000441295;;;;
113;0,591761923;0,629522152;0,631315925;2660,74;113;0,591761923;0,629522152;0,631315925;2660,74;0,005379178;0,005379178;0,005379178;;;;
114;0,592701511;0,63046174;0,632255513;2658,24;114;0,592701511;0,63046174;0,632255513;2658,24;0,000939588;0,000939588;0,000939588;;;;
115;0,592283942;0,630044171;0,631837943;2659,35;115;0,592283942;0,630044171;0,631837943;2659,35;-0,00041757;-0,00041757;-0,00041757;;;;
116;0,599037472;0,636797701;0,638591473;2677,31;116;0,599037472;0,636797701;0,638591473;2677,31;0,00675353;0,00675353;0,00675353;;;;
117;0,612834903;0,650595132;0,652388904;2714,25;117;0,612834903;0,650595132;0,652388904;2714,25;0,013797431;0,013797431;0,013797431;;;;
118;0,622336607;0,660096836;0,661890608;2740,04;118;0,622336607;0,660096836;0,661890608;2740,04;0,009501704;0,009501704;0,009501704;;;;
119;0,634369278;0,672129507;0,673923279;2773,01;119;0,634369278;0,672129507;0,673923279;2773,01;0,012032671;0,012032671;0,012032671;;;;
120;0,634798414;0,672558643;0,674352416;2774,2;120;0,634798414;0,672558643;0,674352416;2774,2;0,000429137;0,000429137;0,000429137;;;;
121;0,64170491;0,679465139;0,681258911;2793,36;121;0,64170491;0,679465139;0,681258911;2793,36;0,006906496;0,006906496;0,006906496;;;;
122;0,646609398;0,684369627;0,686163399;2807,06;122;0,646609398;0,684369627;0,686163399;2807,06;0,004904488;0,004904488;0,004904488;;;;
123;0,649997284;0,687757513;0,689551285;2797,55;123;0,649997284;0,687757513;0,689551285;2797,55;0,003387886;0,003387886;0,003387886;;;;
124;0,646093868;0,691660928;0,693454701;2786,63;124;0,646093868;0,691660928;0,693454701;2786,63;-0,003903415;0,003903415;0,003903415;;;;
125;0,645774486;0,691341546;0,693135319;2787,52;125;0,645774486;0,691341546;0,693135319;2787,52;-0,000319382;-0,000319382;-0,000319382;;;;
126;0,656368132;0,701935192;0,703728965;2817,05;126;0,656368132;0,701935192;0,703728965;2817,05;0,010593646;0,010593646;0,010593646;;;;
127;0,662424113;0,707991173;0,709784945;2799,99;127;0,662424113;0,707991173;0,709784945;2799,99;0,006055981;0,006055981;0,006055981;;;;
128;0,659477674;0,710937612;0,712731384;2791,74;128;0,659477674;0,710937612;0,712731384;2791,74;-0,002946439;0,002946439;0,002946439;;;;
129;0,67472981;0,726189748;0,727983521;2834,32;129;0,67472981;0,726189748;0,727983521;2834,32;0,015252137;0,015252137;0,015252137;;;;
130;0,679478745;0,730938683;0,732732456;2820,86;130;0,679478745;0,730938683;0,732732456;2820,86;0,004748934;0,004748934;0,004748934;;;;
131;0,680279919;0,731739857;0,73353363;2818,6;131;0,680279919;0,731739857;0,73353363;2818,6;0,000801174;0,000801174;0,000801174;;;;
132;0,688734471;0,740194409;0,741988182;2794,77;132;0,688734471;0,740194409;0,741988182;2794,77;0,008454552;0,008454552;0,008454552;;;;
133;0,688147661;0,739607599;0,741401371;2796,41;133;0,688147661;0,739607599;0,741401371;2796,41;-0,00058681;-0,00058681;-0,00058681;;;;
134;0,692063395;0,743523333;0,745317106;2785,46;134;0,692063395;0,743523333;0,745317106;2785,46;0,003915735;0,003915735;0,003915735;;;;
135;0,703167486;0,754627424;0,756421197;2754,53;135;0,703167486;0,754627424;0,756421197;2754,53;0,011104091;0,011104091;0,011104091;;;;
136;0,701076385;0,756718525;0,758512297;2760,29;136;0,701076385;0,756718525;0,758512297;2760,29;-0,002091101;0,002091101;0,002091101;;;;
137;0,705572289;0,761214429;0,763008202;2772,7;137;0,705572289;0,761214429;0,763008202;2772,7;0,004495904;0,004495904;0,004495904;;;;
138;0,710881194;0,766523334;0,768317106;2757,98;138;0,710881194;0,766523334;0,768317106;2757,98;0,005308905;0,005308905;0,005308905;;;;
139;0,714797104;0,770439243;0,772233016;2747,18;139;0,714797104;0,770439243;0,772233016;2747,18;0,003915909;0,003915909;0,003915909;;;;
140;0,719037816;0,774679956;0,776473728;2758,83;140;0,719037816;0,774679956;0,776473728;2758,83;0,004240712;0,004240712;0,004240712;;;;
141;0,733333731;0,788975871;0,790769644;2719,39;141;0,733333731;0,788975871;0,790769644;2719,39;0,014295915;0,014295915;0,014295915;;;;
142;0,737717067;0,793359207;0,795152979;2707,47;142;0,737717067;0,793359207;0,795152979;2707,47;0,004383336;0,004383336;0,004383336;;;;
143;0,743227747;0,798869887;0,800663659;2692,55;143;0,743227747;0,798869887;0,800663659;2692,55;0,00551068;0,00551068;0,00551068;;;;
144;0,753132855;0,808774995;0,810568768;2719,22;144;0,753132855;0,808774995;0,810568768;2719,22;0,009905109;0,009905109;0,009905109;;;;
145;0,757299491;0,812941631;0,814735404;2707,89;145;0,757299491;0,812941631;0,814735404;2707,89;0,004166636;0,004166636;0,004166636;;;;
146;0,759193955;0,814836095;0,816629868;2713,02;146;0,759193955;0,814836095;0,816629868;2713,02;0,001894464;0,001894464;0,001894464;;;;
147;0,756064601;0,817965449;0,819759222;2721,51;147;0,756064601;0,817965449;0,819759222;2721,51;-0,003129354;0,003129354;0,003129354;;;;
148;0,751126166;0,822903884;0,824697657;2708,07;148;0,751126166;0,822903884;0,824697657;2708,07;-0,004938435;0,004938435;0,004938435;;;;
149;0,755044086;0,826821803;0,828615576;2697,46;149;0,755044086;0,826821803;0,828615576;2697,46;0,003917919;0,003917919;0,003917919;;;;
