,0
470,3392.0540946240744
471,3348.608671572001
472,3343.2056684580934
473,3276.834279291076
474,3292.0390767636277
475,3363.220360225352
476,3342.452045773168
477,3374.364514568743
478,3392.980663827759
479,3445.2593636124157
480,3425.554643437261
481,3401.08024305728
482,3414.416713785807
483,3428.818707133753
484,3483.5930966157516
485,3493.197118649031
486,3439.0925617783823
487,3401.358048943249
488,3459.23712392161
489,3446.604809507087
490,3434.635141604674
491,3394.2109645779833
492,3393.4655080495127
493,3341.4043410106815
494,3389.259928885542
495,3411.0878340685163
496,3418.403706739345
497,3406.1147871362555
498,3423.829252900826
499,3479.7468109258243
500,3458.0584694997588
501,3508.509932277054
502,3534.569004716077
503,3588.8702328566337
504,3567.1433040028323
505,3516.7392667765503
506,3497.8735811903193
507,3473.452242526214
508,3489.2125085363837
509,3468.220439855311
510,3488.2343889521444
511,3444.6681992165686
512,3493.9584250503326
513,3524.057635348597
514,3518.779947331726
515,3539.1795954200084
516,3529.7414191439975
517,3559.884808116101
518,3524.523015329732
519,3497.9118914239302
520,3500.4734901382058
521,3508.537870051605
522,3487.9279221589104
523,3520.8507825740485
524,3528.329393449367
525,3570.0590022578945
526,3559.086778698262
527,3594.1145625874224
528,3567.3649642629216
529,3547.7930252159954
530,3568.8758825079426
531,3604.4179476771915
